UserID,FirstName,LastName,PasswordHash,Salt,DOB,Email,BillingAddress
1,Alfreds,Futterkiste,NNVgyjH2Fodc/EP8O9D65CX15E48/vyIIHuHKSiH6z8=,P83Nl8w1ASxSfp1rR5Oi2Q==,06/07/1988,dprice@msn.com,Obere Str. 57
2,Antonio,Moreno,qkmcAzIQgviuOPtk2YnBnVCrLzFwOW3wSLfNBrInBP8=,iuagNxJS9Afy6XGIam26+Q==,17/02/1991,violinhi@yahoo.com,Mataderos 2312
3,Ana,Trujillo,v9na9pttL588bgf0N7lbjjhcqS/IUzk+uVRkygWRiNE=,KyCwymPuEHbdHWGWjLkrBw==,23/12/1960,fudrucker@yahoo.com,Avda. de la Constitución 2222
4,Thomas,Hardy,L+PRsj9h5gwQrKyuP9CxtVhfRB3g3N4JqrzH77FffLg=,SbcW2Ju+xT8jkfLYf3aemg==,01/04/2001,stewwy@sbcglobal.net,120 Hanover Sq.
5,Christina,Berglund,xct4ZaNg/o8EYSlzRi5aNw1knEcRNMst3/GE25RK568=,JPOfhuUGo6v057oGG7chaA==,07/10/2000,vsprintf@comcast.net,Berguvsvägen 8
6,Patricio,Simpson,6YtUamyMbrQh480u/4LSMvNejKVrFy7hbjq6FipeKL4=,y4FvqRJ92pG712ss6a6DBQ==,28/08/2006,pjacklam@outlook.com,Fauntleroy Circus
7,Pedro,Afonso,B3bov8Yw6ZG5bwx/lcefsQFaEGwB0LLlxoc43tQ3Sag=,g9LkMNuVoV5zqouAgg3vjg==,12/12/1987,jusdisgi@optonline.net,8 Portsdown Road
8,Franciso,Chang,2XfdShXcZDNukxHyhWLcLrqMiu7hPShYQ/o3b+dw4RQ=,ueKv9V2vcDGsl8TlQH8DtA==,16/01/2005,mallanmba@verizon.net,City Center Plaza 516 Main St.
9,Sven,Ottlieb,QxVMAKTo4ZBd3uBdzA4kYuaScAkN89u2GcNrYUZqRgI=,QDbtxLYlLMI47kj0CZn4cQ==,15/01/2005,heckerman@hotmail.com,Walserweg 21
10,Elizabeth,Lincoln,w52eqnVzTTRFVaDZ+E/fKi/RH/XBBY5Hw/QL+B+7wLo=,2kwzhKbvmCVqgwF7DL3a0w==,03/05/1999,froodian@yahoo.ca,23 Tsawassen Blvd.
